# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	39286	39666	+	WP_156128703.1	WP_156128703.1		hypothetical protein		69549658	I6H43_RS00190	381	126	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	39801	40151	+						69549659	I6H43_RS00195	351		old_locus_tag=I6H43_00195
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	39801	40151	+	WP_042030980.1	WP_042030980.1		DUF3653 domain-containing protein		69549659	I6H43_RS00195	351	116	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	40594	41553	+						69549660	I6H43_RS00200	960		old_locus_tag=I6H43_00200
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	40594	41553	+	WP_082035445.1	WP_082035445.1		DUF2971 domain-containing protein		69549660	I6H43_RS00200	960	319	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	41792	42994	-						69549661	I6H43_RS00205	1203		old_locus_tag=I6H43_00205
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	41792	42994	-	WP_042030982.1	WP_042030982.1		zona occludens toxin		69549661	I6H43_RS00205	1203	400	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	42995	43309	-						69549662	I6H43_RS00210	315		old_locus_tag=I6H43_00210
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	42995	43309	-	WP_042030983.1	WP_042030983.1		DUF2523 domain-containing protein		69549662	I6H43_RS00210	315	104	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	43316	44476	-						69549663	I6H43_RS00215	1161		old_locus_tag=I6H43_00215
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	43316	44476	-	WP_167335498.1	WP_167335498.1		hypothetical protein		69549663	I6H43_RS00215	1161	386	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	44759	44980	-						69549664	I6H43_RS00220	222		old_locus_tag=I6H43_00220
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	44759	44980	-	WP_042030984.1	WP_042030984.1		hypothetical protein		69549664	I6H43_RS00220	222	73	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	45279	45599	-						69549665	I6H43_RS00225	321		old_locus_tag=I6H43_00225
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	45279	45599	-	WP_031227589.1	WP_031227589.1		hypothetical protein		69549665	I6H43_RS00225	321	106	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	45627	47135	-						69549666	I6H43_RS00230	1509		old_locus_tag=I6H43_00230
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	45627	47135	-	WP_225628394.1	WP_225628394.1		replication initiation factor domain-containing protein		69549666	I6H43_RS00230	1509	502	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	47166	47417	-						69549667	I6H43_RS00235	252		old_locus_tag=I6H43_00235
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	47166	47417	-	WP_042030985.1	WP_042030985.1		hypothetical protein		69549667	I6H43_RS00235	252	83	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	47542	47934	+						69549668	I6H43_RS00240	393		old_locus_tag=I6H43_00240
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	47542	47934	+	WP_042030986.1	WP_042030986.1		helix-turn-helix domain-containing protein		69549668	I6H43_RS00240	393	130	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	47984	49960	+						69549669	I6H43_RS00245	1977		old_locus_tag=I6H43_00245
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	47984	49960	+	WP_042030987.1	WP_042030987.1		Lon protease family protein		69549669	I6H43_RS00245	1977	658	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	50037	50597	+					fabA	69549670	I6H43_RS00250	561		old_locus_tag=I6H43_00250
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	50037	50597	+	WP_033113552.1	WP_033113552.1		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA	fabA	69549670	I6H43_RS00250	561	186	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	50685	50861	-					rmf	69549671	I6H43_RS00255	177		old_locus_tag=I6H43_00255
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	50685	50861	-	WP_010674759.1	WP_010674759.1		ribosome modulation factor	rmf	69549671	I6H43_RS00255	177	58	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	51023	52933	-						69549672	I6H43_RS00260	1911		old_locus_tag=I6H43_00260
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	51023	52933	-	WP_042030988.1	WP_042030988.1		ABC transporter ATP-binding protein		69549672	I6H43_RS00260	1911	636	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	53007	53237	-						69549673	I6H43_RS00265	231		old_locus_tag=I6H43_00265
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	53007	53237	-	WP_042030990.1	WP_042030990.1		glutaredoxin family protein		69549673	I6H43_RS00265	231	76	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	53237	55414	-					rlmKL	69549674	I6H43_RS00270	2178		old_locus_tag=I6H43_00270
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	53237	55414	-	WP_042030991.1	WP_042030991.1		bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL	rlmKL	69549674	I6H43_RS00270	2178	725	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	55664	56032	+						69549675	I6H43_RS00275	369		old_locus_tag=I6H43_00275
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	55664	56032	+	WP_042030992.1	WP_042030992.1		response regulator		69549675	I6H43_RS00275	369	122	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	56049	56369	+						69549676	I6H43_RS00280	321		old_locus_tag=I6H43_00280
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	56049	56369	+	WP_042030994.1	WP_042030994.1		STAS domain-containing protein		69549676	I6H43_RS00280	321	106	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	56356	58560	+						69549677	I6H43_RS00285	2205		old_locus_tag=I6H43_00285
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	56356	58560	+	WP_042030995.1	WP_042030995.1		chemotaxis protein CheA		69549677	I6H43_RS00285	2205	734	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	58574	60250	+						69549678	I6H43_RS00290	1677		old_locus_tag=I6H43_00290
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	58574	60250	+	WP_042030996.1	WP_042030996.1		MCP four helix bundle domain-containing protein		69549678	I6H43_RS00290	1677	558	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	60261	60794	+						69549679	I6H43_RS00295	534		old_locus_tag=I6H43_00295
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	60261	60794	+	WP_042030997.1	WP_042030997.1		chemotaxis protein CheW		69549679	I6H43_RS00295	534	177	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	60794	61657	+						69549680	I6H43_RS00300	864		old_locus_tag=I6H43_00300
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	60794	61657	+	WP_052448107.1	WP_052448107.1		protein-glutamate O-methyltransferase CheR		69549680	I6H43_RS00300	864	287	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	61654	62724	+						69549681	I6H43_RS00305	1071		old_locus_tag=I6H43_00305
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	61654	62724	+	WP_042030998.1	WP_042030998.1		chemotaxis response regulator protein-glutamate methylesterase		69549681	I6H43_RS00305	1071	356	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	62736	63965	+						69549682	I6H43_RS00310	1230		old_locus_tag=I6H43_00310
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	62736	63965	+	WP_042030999.1	WP_042030999.1		EAL domain-containing response regulator		69549682	I6H43_RS00310	1230	409	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	64041	65672	+						69549683	I6H43_RS00315	1632		old_locus_tag=I6H43_00315
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	64041	65672	+	WP_042031065.1	WP_042031065.1		methyl-accepting chemotaxis protein		69549683	I6H43_RS00315	1632	543	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	66086	66412	+						69549684	I6H43_RS00320	327		old_locus_tag=I6H43_00320
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	66086	66412	+	WP_042031000.1	WP_042031000.1		hypothetical protein		69549684	I6H43_RS00320	327	108	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	66455	66994	+						69549685	I6H43_RS00325	540		old_locus_tag=I6H43_00325
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	66455	66994	+	WP_042031001.1	WP_042031001.1		hypothetical protein		69549685	I6H43_RS00325	540	179	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	67109	67645	-						69549686	I6H43_RS00330	537		old_locus_tag=I6H43_00330
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	67109	67645	-	WP_041207787.1	WP_041207787.1		cell division protein ZapC		69549686	I6H43_RS00330	537	178	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	67735	68745	-					pyrD	69549687	I6H43_RS00335	1011		old_locus_tag=I6H43_00335
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	67735	68745	-	WP_033113539.1	WP_033113539.1		quinone-dependent dihydroorotate dehydrogenase	pyrD	69549687	I6H43_RS00335	1011	336	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	68820	73658	-						69549688	I6H43_RS00340	4839		old_locus_tag=I6H43_00340
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	68820	73658	-	WP_042031002.1	WP_042031002.1		NAD-glutamate dehydrogenase		69549688	I6H43_RS00340	4839	1612	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	73937	74158	-						69549689	I6H43_RS00345	222		old_locus_tag=I6H43_00345
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	73937	74158	-	WP_042031003.1	WP_042031003.1		DUF2835 domain-containing protein		69549689	I6H43_RS00345	222	73	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	74252	76876	-					pepN	69549690	I6H43_RS00350	2625		old_locus_tag=I6H43_00350
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	74252	76876	-	WP_042031004.1	WP_042031004.1		aminopeptidase N	pepN	69549690	I6H43_RS00350	2625	874	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	77006	79021	-					prc	69549691	I6H43_RS00355	2016		old_locus_tag=I6H43_00355
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	77006	79021	-	WP_033113535.1	WP_033113535.1		carboxy terminal-processing peptidase	prc	69549691	I6H43_RS00355	2016	671	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	79030	79668	-					proQ	69549692	I6H43_RS00360	639		old_locus_tag=I6H43_00360
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	79030	79668	-	WP_042031005.1	WP_042031005.1		RNA chaperone ProQ	proQ	69549692	I6H43_RS00360	639	212	
gene	protein_coding	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	79770	80228	-						69549693	I6H43_RS00365	459		old_locus_tag=I6H43_00365
CDS	with_protein	GCF_016127195.1	Primary Assembly	chromosome		NZ_CP066092.1	79770	80228	-	WP_042031006.1	WP_042031006.1		GAF domain-containing protein		69549693	I6H43_RS00365	459	152	
