# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	23310	25352	+	WP_224431655.1	WP_224431655.1		oligopeptidase A	prlC		KYK33_RS00095	2043	680	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	25486	28035	+							KYK33_RS00100	2550		old_locus_tag=KYK33_00100
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	25486	28035	+	WP_224431656.1	WP_224431656.1		EAL domain-containing protein			KYK33_RS00100	2550	849	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	28087	28857	+							KYK33_RS00105	771		old_locus_tag=KYK33_00105
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	28087	28857	+	WP_157014104.1	WP_157014104.1		class I SAM-dependent methyltransferase			KYK33_RS00105	771	256	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	28945	29202	-							KYK33_RS00110	258		old_locus_tag=KYK33_00110
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	28945	29202	-	WP_224431657.1	WP_224431657.1		modulator protein			KYK33_RS00110	258	85	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	29225	30721	-					gppA		KYK33_RS00115	1497		old_locus_tag=KYK33_00115
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	29225	30721	-	WP_224431658.1	WP_224431658.1		guanosine-5'-triphosphate,3'-diphosphate diphosphatase	gppA		KYK33_RS00115	1497	498	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	30733	32022	-					rhlB		KYK33_RS00120	1290		old_locus_tag=KYK33_00120
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	30733	32022	-	WP_042043964.1	WP_042043964.1		ATP-dependent RNA helicase RhlB	rhlB		KYK33_RS00120	1290	429	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	32137	32463	+					trxA		KYK33_RS00125	327		old_locus_tag=KYK33_00125
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	32137	32463	+	WP_042043962.1	WP_042043962.1		thioredoxin TrxA	trxA		KYK33_RS00125	327	108	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	32672	33937	+					rho		KYK33_RS00130	1266		old_locus_tag=KYK33_00130
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	32672	33937	+	WP_042043959.1	WP_042043959.1		transcription termination factor Rho	rho		KYK33_RS00130	1266	421	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	34181	35194	+							KYK33_RS00135	1014		old_locus_tag=KYK33_00135
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	34181	35194	+	WP_224431659.1	WP_224431659.1		hypothetical protein			KYK33_RS00135	1014	337	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	35227	36714	+					ubiD		KYK33_RS00140	1488		old_locus_tag=KYK33_00140
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	35227	36714	+	WP_224433065.1	WP_224433065.1		4-hydroxy-3-polyprenylbenzoate decarboxylase	ubiD		KYK33_RS00140	1488	495	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	36765	37463	+					fre		KYK33_RS00145	699		old_locus_tag=KYK33_00145
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	36765	37463	+	WP_042043957.1	WP_042043957.1		NAD(P)H-flavin reductase	fre		KYK33_RS00145	699	232	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	37551	37808	-							KYK33_RS00150	258		old_locus_tag=KYK33_00150
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	37551	37808	-	WP_224431660.1	WP_224431660.1		accessory factor UbiK family protein			KYK33_RS00150	258	85	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	38100	40526	+							KYK33_RS00155	2427		old_locus_tag=KYK33_00155
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	38100	40526	+	WP_224431661.1	WP_224431661.1		lipase			KYK33_RS00155	2427	808	
gene	pseudogene	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	40624	40731	-							KYK33_RS00160	108		partial;pseudo
CDS	without_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	40624	40731	-				rhomboid family intramembrane serine protease GlpG			KYK33_RS00160	108		partial;pseudo
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	40751	41584	-					glpG		KYK33_RS00165	834		old_locus_tag=KYK33_00160
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	40751	41584	-	WP_224433066.1	WP_224433066.1		rhomboid family intramembrane serine protease GlpG	glpG		KYK33_RS00165	834	277	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	41614	41937	-					glpE		KYK33_RS00170	324		old_locus_tag=KYK33_00165
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	41614	41937	-	WP_042043952.1	WP_042043952.1		thiosulfate sulfurtransferase GlpE	glpE		KYK33_RS00170	324	107	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	42111	42704	+							KYK33_RS00175	594		old_locus_tag=KYK33_00170
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	42111	42704	+	WP_224431662.1	WP_224431662.1		LysE family translocator			KYK33_RS00175	594	197	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	42740	43621	-							KYK33_RS00180	882		old_locus_tag=KYK33_00175
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	42740	43621	-	WP_224431663.1	WP_224431663.1		AraC family transcriptional regulator			KYK33_RS00180	882	293	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	43664	44365	-							KYK33_RS00185	702		old_locus_tag=KYK33_00180
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	43664	44365	-	WP_042043951.1	WP_042043951.1		ATP-binding cassette domain-containing protein			KYK33_RS00185	702	233	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	44376	45143	-					livG		KYK33_RS00190	768		old_locus_tag=KYK33_00185
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	44376	45143	-	WP_042043949.1	WP_042043949.1		high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG	livG		KYK33_RS00190	768	255	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	45235	46491	-							KYK33_RS00195	1257		old_locus_tag=KYK33_00190
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	45235	46491	-	WP_224433067.1	WP_224433067.1		high-affinity branched-chain amino acid ABC transporter permease LivM			KYK33_RS00195	1257	418	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	46577	47503	-					livH		KYK33_RS00200	927		old_locus_tag=KYK33_00195
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	46577	47503	-	WP_042043944.1	WP_042043944.1		high-affinity branched-chain amino acid ABC transporter permease LivH	livH		KYK33_RS00200	927	308	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	47573	48691	-							KYK33_RS00205	1119		old_locus_tag=KYK33_00200
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	47573	48691	-	WP_224431664.1	WP_224431664.1		branched-chain amino acid ABC transporter substrate-binding protein			KYK33_RS00205	1119	372	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	49112	50116	+							KYK33_RS00210	1005		old_locus_tag=KYK33_00205
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	49112	50116	+	WP_224431665.1	WP_224431665.1		substrate-binding domain-containing protein			KYK33_RS00210	1005	334	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	50294	53374	-							KYK33_RS00215	3081		old_locus_tag=KYK33_00210
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	50294	53374	-	WP_042043939.1	WP_042043939.1		multidrug efflux RND transporter permease subunit			KYK33_RS00215	3081	1026	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	53390	54496	-							KYK33_RS00220	1107		old_locus_tag=KYK33_00215
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	53390	54496	-	WP_042043937.1	WP_042043937.1		efflux RND transporter periplasmic adaptor subunit			KYK33_RS00220	1107	368	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	54521	55084	-							KYK33_RS00225	564		old_locus_tag=KYK33_00220
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	54521	55084	-	WP_042043935.1	WP_042043935.1		TetR/AcrR family transcriptional regulator			KYK33_RS00225	564	187	
gene	tRNA	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	55320	55396	+							KYK33_RS00230	77		old_locus_tag=KYK33_00225
tRNA		GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	55320	55396	+				tRNA-Arg			KYK33_RS00230	77		anticodon=CCG
gene	tRNA	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	55445	55520	+							KYK33_RS00235	76		old_locus_tag=KYK33_00230
tRNA		GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	55445	55520	+				tRNA-His			KYK33_RS00235	76		anticodon=GTG
gene	tRNA	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	55553	55637	+							KYK33_RS00240	85		old_locus_tag=KYK33_00235
tRNA		GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	55553	55637	+				tRNA-Leu			KYK33_RS00240	85		anticodon=CAG
gene	tRNA	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	55696	55772	+							KYK33_RS00245	77		old_locus_tag=KYK33_00240
tRNA		GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	55696	55772	+				tRNA-Pro			KYK33_RS00245	77		anticodon=TGG
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	55859	57310	-					pyk		KYK33_RS00250	1452		old_locus_tag=KYK33_00245
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	55859	57310	-	WP_224431666.1	WP_224431666.1		pyruvate kinase	pyk		KYK33_RS00250	1452	483	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	57393	58730	-							KYK33_RS00255	1338		old_locus_tag=KYK33_00250
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	57393	58730	-	WP_224431667.1	WP_224431667.1		MFS transporter			KYK33_RS00255	1338	445	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	59082	60320	+							KYK33_RS00260	1239		old_locus_tag=KYK33_00255
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	59082	60320	+	WP_224431668.1	WP_224431668.1		extracellular solute-binding protein			KYK33_RS00260	1239	412	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	60317	62728	+							KYK33_RS00265	2412		old_locus_tag=KYK33_00260
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	60317	62728	+	WP_224431669.1	WP_224431669.1		HAMP domain-containing protein			KYK33_RS00265	2412	803	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	62742	64019	+							KYK33_RS00270	1278		old_locus_tag=KYK33_00265
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	62742	64019	+	WP_224431670.1	WP_224431670.1		sigma-54 dependent transcriptional regulator			KYK33_RS00270	1278	425	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	64146	65789	-							KYK33_RS00275	1644		old_locus_tag=KYK33_00270
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	64146	65789	-	WP_224431671.1	WP_224431671.1		methyl-accepting chemotaxis protein			KYK33_RS00275	1644	547	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	65989	66303	+							KYK33_RS00280	315		old_locus_tag=KYK33_00275
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	65989	66303	+	WP_224431672.1	WP_224431672.1		hypothetical protein			KYK33_RS00280	315	104	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	66372	67172	-							KYK33_RS00285	801		old_locus_tag=KYK33_00280
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	66372	67172	-	WP_042041217.1	WP_042041217.1		Cof-type HAD-IIB family hydrolase			KYK33_RS00285	801	266	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	67314	68354	-							KYK33_RS00290	1041		old_locus_tag=KYK33_00285
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	67314	68354	-	WP_224431673.1	WP_224431673.1		alpha/beta fold hydrolase			KYK33_RS00290	1041	346	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	68344	69090	-					trmH		KYK33_RS00295	747		old_locus_tag=KYK33_00290
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	68344	69090	-	WP_224431674.1	WP_224431674.1		tRNA (guanosine(18)-2'-O)-methyltransferase TrmH	trmH		KYK33_RS00295	747	248	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	69224	71341	-					spoT		KYK33_RS00300	2118		old_locus_tag=KYK33_00295
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	69224	71341	-	WP_042041214.1	WP_042041214.1		bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	spoT		KYK33_RS00300	2118	705	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	71472	71747	-					rpoZ		KYK33_RS00305	276		old_locus_tag=KYK33_00300
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	71472	71747	-	WP_005307060.1	WP_005307060.1		DNA-directed RNA polymerase subunit omega	rpoZ		KYK33_RS00305	276	91	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	71825	72451	-					gmk		KYK33_RS00310	627		old_locus_tag=KYK33_00305
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	71825	72451	-	WP_042041213.1	WP_042041213.1		guanylate kinase	gmk		KYK33_RS00310	627	208	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	72705	73811	-							KYK33_RS00315	1107		old_locus_tag=KYK33_00310
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	72705	73811	-	WP_224431675.1	WP_224431675.1		glycosyltransferase family 9 protein			KYK33_RS00315	1107	368	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	73896	74600	+							KYK33_RS00320	705		old_locus_tag=KYK33_00315
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	73896	74600	+	WP_224431676.1	WP_224431676.1		3-deoxy-D-manno-octulosonic acid kinase			KYK33_RS00320	705	234	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	74760	75617	+							KYK33_RS00325	858		old_locus_tag=KYK33_00320
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	74760	75617	+	WP_224431677.1	WP_224431677.1		sensor domain-containing diguanylate cyclase			KYK33_RS00325	858	285	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	75673	76527	-							KYK33_RS00330	855		old_locus_tag=KYK33_00325
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	75673	76527	-	WP_224431678.1	WP_224431678.1		carboxylate/amino acid/amine transporter			KYK33_RS00330	855	284	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	76567	77046	+							KYK33_RS00335	480		old_locus_tag=KYK33_00330
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	76567	77046	+	WP_224431679.1	WP_224431679.1		DUF6314 family protein			KYK33_RS00335	480	159	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	77100	77261	-							KYK33_RS00340	162		old_locus_tag=KYK33_00335
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	77100	77261	-	WP_224431680.1	WP_224431680.1		hypothetical protein			KYK33_RS00340	162	53	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	77246	78142	-							KYK33_RS00345	897		old_locus_tag=KYK33_00340
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	77246	78142	-	WP_224431681.1	WP_224431681.1		EamA family transporter			KYK33_RS00345	897	298	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	78243	79178	+							KYK33_RS00350	936		old_locus_tag=KYK33_00345
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	78243	79178	+	WP_042041203.1	WP_042041203.1		LysR family transcriptional regulator			KYK33_RS00350	936	311	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	79244	80248	-					trpS		KYK33_RS00355	1005		old_locus_tag=KYK33_00350
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	79244	80248	-	WP_224431682.1	WP_224431682.1		tryptophan--tRNA ligase	trpS		KYK33_RS00355	1005	334	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	80443	80877	-							KYK33_RS00360	435		old_locus_tag=KYK33_00355
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	80443	80877	-	WP_224431683.1	WP_224431683.1		universal stress protein			KYK33_RS00360	435	144	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	81530	82717	+							KYK33_RS00365	1188		old_locus_tag=KYK33_00360
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	81530	82717	+	WP_224431684.1	WP_224431684.1		trans-2-enoyl-CoA reductase family protein			KYK33_RS00365	1188	395	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	82714	84579	-							KYK33_RS00370	1866		old_locus_tag=KYK33_00365
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	82714	84579	-	WP_224431685.1	WP_224431685.1		diguanylate cyclase			KYK33_RS00370	1866	621	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	84709	85233	+					ftnA		KYK33_RS00375	525		old_locus_tag=KYK33_00370
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	84709	85233	+	WP_042041196.1	WP_042041196.1		non-heme ferritin	ftnA		KYK33_RS00375	525	174	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	85408	86592	+							KYK33_RS00380	1185		old_locus_tag=KYK33_00375
CDS	with_protein	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	85408	86592	+	WP_042041195.1	WP_042041195.1		NAD(P)/FAD-dependent oxidoreductase			KYK33_RS00380	1185	394	
gene	protein_coding	GCF_020149575.1	Primary Assembly	chromosome		NZ_CP079742.1	86727	87362	+					leuE		KYK33_RS00385	636		old_locus_tag=KYK33_00380
